field_filter,hobby_coding,hobby_gaming,hobby_reading,hobby_writing,hobby_music,hobby_drawing_art,hobby_sports,hobby_cooking,hobby_photography,hobby_travel,hobby_science_experiments,hobby_volunteering,hobby_debating,hobby_robotics,hobby_fashion,hobby_business_trading,grade_math,grade_science,grade_lang,grade_social,grade_cs,score_analytical,score_numeric,score_verbal,score_creative,score_social,top_course_1,top_course_2,top_course_3,top_course_4,top_course_5
Education,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,0,53,52,95,83,38,62,66,82,44,73,BSc Education,Graduate Diploma in Early Childhood Education,BSc Educational Psychology,PhD Education,PhD Early Childhood Education
STEM,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,80,69,44,31,75,84,78,51,56,15,PhD Computer Science,BSc Artificial Intelligence,Graduate Diploma in Data Science,MSc Machine Learning,MSc Cybersecurity
Engineering,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,77,64,58,70,84,82,86,59,66,55,BEng Software Engineering,BEng Computer Engineering,Graduate Diploma in Robotics Engineering,BEng Mechanical Engineering,PhD Civil Engineering
Business,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,56,55,68,75,50,50,61,79,44,69,MBA Business Administration,MBA International Business,Graduate Certificate in Finance,Graduate Certificate in Accounting,BBA Marketing
Education,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,65,78,81,69,49,37,83,71,75,73,BSc Education,Graduate Diploma in Early Childhood Education,BSc Educational Psychology,PhD Education,PhD Early Childhood Education
STEM,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,95,70,28,48,88,94,90,34,67,43,PhD Computer Science,BSc Artificial Intelligence,Graduate Diploma in Data Science,MSc Machine Learning,MSc Cybersecurity
all,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,58,57,77,73,53,66,61,74,64,76,MBA Business Administration,MBA International Business,Graduate Certificate in Finance,Graduate Certificate in Accounting,BBA Marketing
Arts,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,53,65,55,55,100,45,54,61,98,57,MSc Graphic Design,Graduate Diploma in Animation,Graduate Diploma in Film Production,MSc Interior Design,BFA Fashion Design
all,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,88,43,61,57,20,69,89,57,14,62,PhD Computer Science,BEng Software Engineering,BSc Artificial Intelligence,Graduate Diploma in Data Science,MSc Machine Learning
Business,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,74,66,58,62,66,67,68,59,49,57,MBA Business Administration,MBA International Business,Graduate Certificate in Finance,Graduate Certificate in Accounting,BBA Marketing
Arts,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,37,43,86,75,78,72,31,79,87,79,MSc Graphic Design,Graduate Diploma in Animation,Graduate Diploma in Film Production,MSc Interior Design,BFA Fashion Design
all,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,54,42,84,73,61,85,55,70,38,71,Graduate Diploma in Medicine,MSc Nursing,MSc Dentistry,PhD Pharmacy,Graduate Diploma in Public Health
all,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,100,71,75,75,78,91,88,66,49,84,Graduate Diploma in Medicine,MSc Nursing,MSc Dentistry,PhD Pharmacy,Graduate Diploma in Public Health
all,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,49,55,55,77,47,46,51,65,88,86,BSc Education,Graduate Diploma in Early Childhood Education,BSc Educational Psychology,PhD Education,PhD Early Childhood Education
all,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,56,70,68,69,87,65,63,59,100,75,Graduate Diploma in Medicine,MSc Nursing,MSc Dentistry,PhD Pharmacy,Graduate Diploma in Public Health
Social Science,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,48,65,32,46,61,63,42,59,86,60,MSc Economics,Graduate Diploma in Political Science,Graduate Certificate in Sociology,BSc Psychology,BSc International Relations
Engineering,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,76,64,29,47,43,80,83,28,44,54,BEng Software Engineering,BEng Computer Engineering,Graduate Diploma in Robotics Engineering,BEng Mechanical Engineering,PhD Civil Engineering
Business,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,87,84,78,62,75,56,88,70,93,60,MBA Business Administration,MBA International Business,Graduate Certificate in Finance,Graduate Certificate in Accounting,BBA Marketing
STEM,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,80,89,64,54,52,80,87,62,62,56,PhD Computer Science,BSc Artificial Intelligence,Graduate Diploma in Data Science,MSc Machine Learning,MSc Cybersecurity
all,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,75,68,80,87,96,78,49,82,77,55,MSc Economics,Graduate Diploma in Political Science,Graduate Certificate in Sociology,BSc Psychology,BSc International Relations
Social Science,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,67,72,85,65,69,73,81,67,78,86,MSc Economics,Graduate Diploma in Political Science,Graduate Certificate in Sociology,BSc Psychology,BSc International Relations
STEM,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,77,57,27,55,69,87,88,29,61,71,PhD Computer Science,BSc Artificial Intelligence,Graduate Diploma in Data Science,MSc Machine Learning,MSc Cybersecurity
all,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,66,50,67,75,51,56,74,68,55,66,Graduate Diploma in Medicine,MSc Nursing,MSc Dentistry,PhD Pharmacy,Graduate Diploma in Public Health
all,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,92,60,72,77,79,87,71,77,77,55,Graduate Diploma in Medicine,MSc Nursing,MSc Dentistry,PhD Pharmacy,Graduate Diploma in Public Health
all,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,72,89,65,82,66,58,79,70,99,77,Graduate Diploma in Medicine,MSc Nursing,MSc Dentistry,PhD Pharmacy,Graduate Diploma in Public Health
all,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,38,64,74,72,74,43,54,72,95,49,MSc Graphic Design,Graduate Diploma in Animation,Graduate Diploma in Film Production,MSc Interior Design,BFA Fashion Design
STEM,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,59,93,56,61,69,85,75,67,69,51,PhD Computer Science,BSc Artificial Intelligence,Graduate Diploma in Data Science,MSc Machine Learning,MSc Cybersecurity
Architecture,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,71,73,69,48,70,77,67,67,69,46,Graduate Certificate in Architecture,Graduate Certificate in Urban Design,Graduate Diploma in Construction Management,BArch Architecture,PhD Urban Design
all,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,65,86,100,84,74,58,66,96,89,76,MBA Business Administration,MBA International Business,Graduate Certificate in Finance,Graduate Certificate in Accounting,BBA Marketing
Science,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,83,66,52,75,54,78,85,54,41,67,MSc Physics,MSc Chemistry,Graduate Certificate in Biology,PhD Biochemistry,Graduate Certificate in Microbiology
Science,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,78,75,45,48,70,81,81,46,68,49,MSc Physics,MSc Chemistry,Graduate Certificate in Biology,PhD Biochemistry,Graduate Certificate in Microbiology
Media,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,63,99,86,82,61,57,81,85,90,81,MSc Journalism,BSc Media Studies,PhD Public Relations,BSc Advertising,BSc Journalism
Law,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,69,64,93,76,55,73,60,95,60,59,LLM Law,LLM Corporate Law,LLB International Law,Graduate Certificate in Law,Graduate Certificate in Corporate Law
Business,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,75,72,67,84,87,65,70,76,85,86,MBA Business Administration,MBA International Business,Graduate Certificate in Finance,Graduate Certificate in Accounting,BBA Marketing
all,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,48,68,78,93,75,54,62,72,88,96,Graduate Diploma in Medicine,MSc Nursing,MSc Dentistry,PhD Pharmacy,Graduate Diploma in Public Health
Engineering,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,78,53,85,62,64,70,59,84,40,34,BEng Software Engineering,BEng Computer Engineering,Graduate Diploma in Robotics Engineering,BEng Mechanical Engineering,PhD Civil Engineering
all,0,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,56,90,70,83,73,52,58,73,92,57,MSc Economics,Graduate Diploma in Political Science,Graduate Certificate in Sociology,BSc Psychology,BSc International Relations
all,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,71,45,75,49,67,69,70,80,50,67,Graduate Diploma in Medicine,MSc Nursing,MSc Dentistry,PhD Pharmacy,Graduate Diploma in Public Health
all,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,81,96,71,81,51,80,89,77,53,77,Graduate Diploma in Medicine,MSc Nursing,MSc Dentistry,PhD Pharmacy,Graduate Diploma in Public Health
all,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,57,56,80,65,56,58,96,74,29,60,MBA Business Administration,MBA International Business,Graduate Certificate in Finance,Graduate Certificate in Accounting,BBA Marketing
Arts,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,58,78,82,67,75,62,36,76,95,73,MSc Graphic Design,Graduate Diploma in Animation,Graduate Diploma in Film Production,MSc Interior Design,BFA Fashion Design
Law,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,65,57,82,70,70,86,75,85,60,82,LLM Law,LLM Corporate Law,LLB International Law,Graduate Certificate in Law,Graduate Certificate in Corporate Law
all,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,52,57,62,73,67,65,26,70,74,66,MSc Economics,Graduate Diploma in Political Science,Graduate Certificate in Sociology,BSc Psychology,BSc International Relations
all,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,80,79,72,45,72,69,80,56,69,44,PhD Computer Science,BEng Software Engineering,BSc Artificial Intelligence,Graduate Diploma in Data Science,MSc Machine Learning
all,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,67,73,50,43,70,61,84,48,74,65,Graduate Diploma in Medicine,MSc Nursing,MSc Dentistry,PhD Pharmacy,Graduate Diploma in Public Health
Architecture,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,63,77,36,56,61,66,77,52,84,59,Graduate Certificate in Architecture,Graduate Certificate in Urban Design,Graduate Diploma in Construction Management,BArch Architecture,PhD Urban Design
all,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,93,60,81,65,84,100,83,65,58,50,PhD Computer Science,BEng Software Engineering,BSc Artificial Intelligence,Graduate Diploma in Data Science,MSc Machine Learning
STEM,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,87,77,70,69,95,85,86,73,75,44,PhD Computer Science,BSc Artificial Intelligence,Graduate Diploma in Data Science,MSc Machine Learning,MSc Cybersecurity
STEM,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,90,70,97,64,73,83,88,81,62,57,PhD Computer Science,BSc Artificial Intelligence,Graduate Diploma in Data Science,MSc Machine Learning,MSc Cybersecurity
all,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,85,87,61,64,79,60,87,61,67,79,Graduate Diploma in Medicine,MSc Nursing,MSc Dentistry,PhD Pharmacy,Graduate Diploma in Public Health
Science,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,80,96,66,77,89,82,80,62,76,79,MSc Physics,MSc Chemistry,Graduate Certificate in Biology,PhD Biochemistry,Graduate Certificate in Microbiology
all,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,43,33,73,55,75,75,20,86,61,64,LLM Law,LLM Corporate Law,LLB International Law,Graduate Certificate in Law,Graduate Certificate in Corporate Law
all,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,62,93,66,85,63,52,74,85,85,70,MBA Business Administration,MBA International Business,Graduate Certificate in Finance,Graduate Certificate in Accounting,BBA Marketing
STEM,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,79,62,52,51,58,81,67,54,47,43,PhD Computer Science,BSc Artificial Intelligence,Graduate Diploma in Data Science,MSc Machine Learning,MSc Cybersecurity
Engineering,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,92,80,62,51,75,79,93,53,56,30,BEng Software Engineering,BEng Computer Engineering,Graduate Diploma in Robotics Engineering,BEng Mechanical Engineering,PhD Civil Engineering
all,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,60,87,76,82,96,63,71,76,71,59,MBA Business Administration,MBA International Business,Graduate Certificate in Finance,Graduate Certificate in Accounting,BBA Marketing
Science,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,68,65,100,67,51,79,71,96,40,58,MSc Physics,MSc Chemistry,Graduate Certificate in Biology,PhD Biochemistry,Graduate Certificate in Microbiology
Media,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,49,77,83,73,78,55,44,77,89,73,MSc Journalism,BSc Media Studies,PhD Public Relations,BSc Advertising,BSc Journalism
all,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,93,93,66,72,84,95,83,67,77,68,Graduate Diploma in Medicine,MSc Nursing,MSc Dentistry,PhD Pharmacy,Graduate Diploma in Public Health
Business,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,52,78,58,62,90,64,58,63,88,58,MBA Business Administration,MBA International Business,Graduate Certificate in Finance,Graduate Certificate in Accounting,BBA Marketing
Media,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,59,74,90,90,60,39,55,85,96,92,MSc Journalism,BSc Media Studies,PhD Public Relations,BSc Advertising,BSc Journalism
Education,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,70,62,80,86,59,60,65,75,39,82,BSc Education,Graduate Diploma in Early Childhood Education,BSc Educational Psychology,PhD Education,PhD Early Childhood Education
STEM,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,84,85,88,64,85,77,87,72,86,49,PhD Computer Science,BSc Artificial Intelligence,Graduate Diploma in Data Science,MSc Machine Learning,MSc Cybersecurity
Science,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,94,73,66,45,63,92,89,64,45,37,MSc Physics,MSc Chemistry,Graduate Certificate in Biology,PhD Biochemistry,Graduate Certificate in Microbiology
Science,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,90,59,76,95,87,90,66,79,59,80,MSc Physics,MSc Chemistry,Graduate Certificate in Biology,PhD Biochemistry,Graduate Certificate in Microbiology
all,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,86,62,65,74,35,69,88,59,32,80,Graduate Diploma in Medicine,MSc Nursing,MSc Dentistry,PhD Pharmacy,Graduate Diploma in Public Health
Engineering,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,73,85,78,55,80,61,84,70,60,41,BEng Software Engineering,BEng Computer Engineering,Graduate Diploma in Robotics Engineering,BEng Mechanical Engineering,PhD Civil Engineering
Business,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,69,67,100,77,53,59,63,80,66,76,MBA Business Administration,MBA International Business,Graduate Certificate in Finance,Graduate Certificate in Accounting,BBA Marketing
Health,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,78,67,81,79,83,93,83,76,58,76,Graduate Diploma in Medicine,MSc Nursing,MSc Dentistry,PhD Pharmacy,Graduate Diploma in Public Health
all,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,54,82,73,77,62,31,80,77,76,71,MBA Business Administration,MBA International Business,Graduate Certificate in Finance,Graduate Certificate in Accounting,BBA Marketing
all,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,87,73,71,59,62,91,85,60,50,70,PhD Computer Science,BEng Software Engineering,BSc Artificial Intelligence,Graduate Diploma in Data Science,MSc Machine Learning
Arts,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,59,79,78,64,69,60,64,77,83,68,MSc Graphic Design,Graduate Diploma in Animation,Graduate Diploma in Film Production,MSc Interior Design,BFA Fashion Design
all,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,80,89,79,90,70,61,77,79,63,65,MBA Business Administration,MBA International Business,Graduate Certificate in Finance,Graduate Certificate in Accounting,BBA Marketing
all,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,60,76,94,75,74,54,76,74,83,84,Graduate Diploma in Medicine,MSc Nursing,MSc Dentistry,PhD Pharmacy,Graduate Diploma in Public Health
Arts,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,55,78,66,85,62,45,51,70,94,64,MSc Graphic Design,Graduate Diploma in Animation,Graduate Diploma in Film Production,MSc Interior Design,BFA Fashion Design
all,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,70,73,82,89,65,68,86,74,79,87,Graduate Diploma in Medicine,MSc Nursing,MSc Dentistry,PhD Pharmacy,Graduate Diploma in Public Health
Education,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,96,70,76,73,60,58,82,68,64,69,BSc Education,Graduate Diploma in Early Childhood Education,BSc Educational Psychology,PhD Education,PhD Early Childhood Education
all,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,57,66,61,59,54,64,61,59,57,69,MBA Business Administration,MBA International Business,Graduate Certificate in Finance,Graduate Certificate in Accounting,BBA Marketing
all,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,89,81,93,77,66,81,88,96,61,55,LLM Law,LLM Corporate Law,LLB International Law,Graduate Certificate in Law,Graduate Certificate in Corporate Law
Social Science,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,65,39,73,50,55,56,56,75,57,85,MSc Economics,Graduate Diploma in Political Science,Graduate Certificate in Sociology,BSc Psychology,BSc International Relations
all,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,44,53,67,77,57,63,42,66,65,75,MSc Economics,Graduate Diploma in Political Science,Graduate Certificate in Sociology,BSc Psychology,BSc International Relations
Health,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,63,53,83,70,54,67,61,64,54,81,Graduate Diploma in Medicine,MSc Nursing,MSc Dentistry,PhD Pharmacy,Graduate Diploma in Public Health
Law,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,71,80,55,65,47,63,80,73,61,62,LLM Law,LLM Corporate Law,LLB International Law,Graduate Certificate in Law,Graduate Certificate in Corporate Law
Education,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,58,77,57,78,75,63,67,63,87,89,BSc Education,Graduate Diploma in Early Childhood Education,BSc Educational Psychology,PhD Education,PhD Early Childhood Education
all,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,65,52,70,68,56,70,88,73,54,49,Graduate Diploma in Medicine,MSc Nursing,MSc Dentistry,PhD Pharmacy,Graduate Diploma in Public Health
all,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,84,86,88,59,100,86,80,78,100,45,PhD Computer Science,BEng Software Engineering,BSc Artificial Intelligence,Graduate Diploma in Data Science,MSc Machine Learning
all,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,70,58,54,60,65,74,59,50,42,89,Graduate Diploma in Medicine,MSc Nursing,MSc Dentistry,PhD Pharmacy,Graduate Diploma in Public Health
all,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,76,79,48,54,78,73,65,54,79,55,Graduate Diploma in Medicine,MSc Nursing,MSc Dentistry,PhD Pharmacy,Graduate Diploma in Public Health
Media,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,33,49,100,72,67,45,22,93,84,63,MSc Journalism,BSc Media Studies,PhD Public Relations,BSc Advertising,BSc Journalism
Arts,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,64,91,78,82,51,61,68,82,100,66,MSc Graphic Design,Graduate Diploma in Animation,Graduate Diploma in Film Production,MSc Interior Design,BFA Fashion Design
Architecture,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,44,44,74,56,65,61,56,65,83,69,Graduate Certificate in Architecture,Graduate Certificate in Urban Design,Graduate Diploma in Construction Management,BArch Architecture,PhD Urban Design
all,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,58,51,84,85,87,73,46,85,91,85,LLM Law,LLM Corporate Law,LLB International Law,BSc Education,Graduate Diploma in Early Childhood Education
Science,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,58,68,67,48,77,76,80,58,80,53,MSc Physics,MSc Chemistry,Graduate Certificate in Biology,PhD Biochemistry,Graduate Certificate in Microbiology
Education,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,55,71,64,62,56,65,71,58,70,70,BSc Education,Graduate Diploma in Early Childhood Education,BSc Educational Psychology,PhD Education,PhD Early Childhood Education
all,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,84,81,36,71,95,85,56,52,88,63,MSc Economics,Graduate Diploma in Political Science,Graduate Certificate in Sociology,BSc Psychology,BSc International Relations
all,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,37,84,97,90,73,37,63,93,89,73,MSc Journalism,BSc Media Studies,PhD Public Relations,BSc Advertising,BSc Journalism
all,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,45,58,79,87,56,55,46,92,68,75,LLM Law,LLM Corporate Law,LLB International Law,BSc Education,Graduate Diploma in Early Childhood Education
Media,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,66,68,92,77,77,61,56,95,76,61,MSc Journalism,BSc Media Studies,PhD Public Relations,BSc Advertising,BSc Journalism
Science,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,77,75,36,29,84,76,83,48,70,18,MSc Physics,MSc Chemistry,Graduate Certificate in Biology,PhD Biochemistry,Graduate Certificate in Microbiology
Media,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,58,61,73,70,53,52,57,81,75,71,MSc Journalism,BSc Media Studies,PhD Public Relations,BSc Advertising,BSc Journalism
all,0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,62,36,73,66,41,64,58,64,30,81,Graduate Diploma in Medicine,MSc Nursing,MSc Dentistry,PhD Pharmacy,Graduate Diploma in Public Health
all,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,63,68,92,86,84,82,44,80,75,83,BSc Education,Graduate Diploma in Early Childhood Education,BSc Educational Psychology,PhD Education,PhD Early Childhood Education
Media,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,83,59,73,74,75,79,67,73,83,77,MSc Journalism,BSc Media Studies,PhD Public Relations,BSc Advertising,BSc Journalism
Business,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,51,67,65,76,69,61,60,64,57,86,MBA Business Administration,MBA International Business,Graduate Certificate in Finance,Graduate Certificate in Accounting,BBA Marketing
STEM,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,100,100,43,54,71,92,78,45,85,39,PhD Computer Science,BSc Artificial Intelligence,Graduate Diploma in Data Science,MSc Machine Learning,MSc Cybersecurity
Media,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,44,67,60,81,66,70,32,67,82,86,MSc Journalism,BSc Media Studies,PhD Public Relations,BSc Advertising,BSc Journalism
all,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,82,55,77,64,22,64,70,62,49,83,Graduate Diploma in Medicine,MSc Nursing,MSc Dentistry,PhD Pharmacy,Graduate Diploma in Public Health
Social Science,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,68,63,62,69,43,57,62,71,51,54,MSc Economics,Graduate Diploma in Political Science,Graduate Certificate in Sociology,BSc Psychology,BSc International Relations
Social Science,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,76,52,81,64,68,66,71,74,58,76,MSc Economics,Graduate Diploma in Political Science,Graduate Certificate in Sociology,BSc Psychology,BSc International Relations
all,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,78,40,88,97,50,78,55,88,44,82,Graduate Diploma in Medicine,MSc Nursing,MSc Dentistry,PhD Pharmacy,Graduate Diploma in Public Health
Health,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,63,34,92,59,44,72,68,100,36,45,Graduate Diploma in Medicine,MSc Nursing,MSc Dentistry,PhD Pharmacy,Graduate Diploma in Public Health
Business,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,73,73,68,77,42,73,69,78,64,71,MBA Business Administration,MBA International Business,Graduate Certificate in Finance,Graduate Certificate in Accounting,BBA Marketing
all,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,100,71,28,38,62,92,97,33,59,21,PhD Computer Science,BEng Software Engineering,BSc Artificial Intelligence,Graduate Diploma in Data Science,MSc Machine Learning
all,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,88,77,56,75,66,70,86,50,53,80,Graduate Diploma in Medicine,MSc Nursing,MSc Dentistry,PhD Pharmacy,Graduate Diploma in Public Health
Arts,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,70,71,74,70,71,86,29,75,100,69,MSc Graphic Design,Graduate Diploma in Animation,Graduate Diploma in Film Production,MSc Interior Design,BFA Fashion Design
all,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,49,63,94,60,96,82,33,74,100,61,MSc Journalism,BSc Media Studies,PhD Public Relations,BSc Advertising,BSc Journalism
all,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,39,66,95,69,49,65,36,91,48,68,LLM Law,LLM Corporate Law,LLB International Law,Graduate Certificate in Law,Graduate Certificate in Corporate Law
all,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,62,96,57,54,72,72,86,52,66,53,PhD Computer Science,BEng Software Engineering,BSc Artificial Intelligence,Graduate Diploma in Data Science,MSc Machine Learning
all,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,71,37,96,66,40,68,53,86,44,75,MBA Business Administration,MBA International Business,Graduate Certificate in Finance,Graduate Certificate in Accounting,BBA Marketing
Health,0,0,0,1,0,0,0,1,0,1,1,0,0,0,0,0,79,72,84,78,57,59,81,69,71,78,Graduate Diploma in Medicine,MSc Nursing,MSc Dentistry,PhD Pharmacy,Graduate Diploma in Public Health
Media,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,65,94,91,69,87,58,81,84,100,57,MSc Journalism,BSc Media Studies,PhD Public Relations,BSc Advertising,BSc Journalism
Education,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,57,71,90,78,62,48,84,84,68,81,BSc Education,Graduate Diploma in Early Childhood Education,BSc Educational Psychology,PhD Education,PhD Early Childhood Education
Law,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,64,62,89,73,56,51,39,88,44,63,LLM Law,LLM Corporate Law,LLB International Law,Graduate Certificate in Law,Graduate Certificate in Corporate Law
Architecture,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,87,83,69,71,71,68,79,67,79,64,Graduate Certificate in Architecture,Graduate Certificate in Urban Design,Graduate Diploma in Construction Management,BArch Architecture,PhD Urban Design
all,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,53,72,95,60,80,59,49,100,89,44,MSc Journalism,BSc Media Studies,PhD Public Relations,BSc Advertising,BSc Journalism
Architecture,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,68,84,100,73,78,84,69,100,77,65,Graduate Certificate in Architecture,Graduate Certificate in Urban Design,Graduate Diploma in Construction Management,BArch Architecture,PhD Urban Design
Law,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,66,78,82,100,67,54,77,80,88,70,LLM Law,LLM Corporate Law,LLB International Law,Graduate Certificate in Law,Graduate Certificate in Corporate Law
