field_filter,hobby_coding,hobby_gaming,hobby_reading,hobby_writing,hobby_music,hobby_drawing_art,hobby_sports,hobby_cooking,hobby_photography,hobby_travel,hobby_science_experiments,hobby_volunteering,hobby_debating,hobby_robotics,hobby_fashion,hobby_business_trading,grade_math,grade_science,grade_lang,grade_social,grade_cs,score_analytical,score_numeric,score_verbal,score_creative,score_social,top_career_1,top_career_2,top_career_3,top_career_4,top_career_5
all,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,70,58,51,46,87,94,67,54,77,54,Software Developer,Web Developer,Mobile App Developer,Game Developer,Software Tester / QA Engineer
all,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,49,66,79,90,71,60,44,71,89,88,Social Worker,School Teacher,Professor,Special Education Teacher,Social Welfare Officer
Hospitality,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,90,79,83,62,70,73,95,77,61,71,Hotel Manager,Event Manager,Airline Manager,NGO Program Manager,Wedding Planner
all,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,57,54,65,82,84,97,38,60,56,88,Social Worker,School Teacher,Professor,Special Education Teacher,Social Welfare Officer
all,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,82,67,94,67,77,87,71,75,68,79,IT Project Manager,Software Developer,Web Developer,Mobile App Developer,Game Developer
all,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,85,61,45,49,77,95,68,58,54,74,Public Relations Manager,Software Developer,Web Developer,Mobile App Developer,Game Developer
IT & Computer,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,87,78,37,38,82,94,83,35,74,56,Network Engineer,Cloud Engineer,AI Engineer,Machine Learning Engineer,DevOps Engineer
Education,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,83,62,96,90,67,78,57,77,61,87,School Teacher,Professor,Special Education Teacher,Training Manager,Curriculum Developer
Engineering,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,74,74,55,65,81,71,77,51,80,54,Civil Engineer,Mechanical Engineer,Electrical Engineer,Electronics Engineer,Chemical Engineer
all,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,75,62,92,75,74,91,88,76,44,53,Data Analyst,Data Scientist,Cybersecurity Analyst,Database Administrator,Systems Analyst
all,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,57,52,57,83,54,63,72,60,37,92,IT Project Manager,Public Relations Manager,Doctor,Nurse,Pharmacist
all,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,64,54,61,56,53,71,83,55,57,65,Network Engineer,Cloud Engineer,AI Engineer,Machine Learning Engineer,DevOps Engineer
Marine,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,80,59,42,30,61,92,75,57,63,47,Marine Engineer,Ship Captain,Marine Biologist,Naval Architect,Oceanographer
Business & Finance,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,69,95,79,46,74,58,97,77,70,55,Accountant,Chartered Accountant (CA),Marketing Manager,Human Resource Manager,Operations Manager
Aviation,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,65,70,62,81,70,53,71,69,56,77,Pilot,Commercial Pilot,Air Traffic Controller,Flight Dispatcher,Aircraft Maintenance Engineer
all,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,71,67,57,48,58,80,68,65,64,48,Software Developer,Web Developer,Mobile App Developer,Game Developer,Software Tester / QA Engineer
Science,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,85,95,67,46,100,96,76,55,91,25,Physicist,Chemist,Mathematician,Statistician,Geologist
Engineering,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,100,78,100,72,86,93,96,100,73,57,Civil Engineer,Mechanical Engineer,Electrical Engineer,Electronics Engineer,Chemical Engineer
all,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,59,72,66,67,56,50,64,66,69,82,IT Support Specialist,Technical Consultant,Ethical Hacker,Game Tester,Esports Player
all,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,69,70,78,83,97,74,62,74,87,68,Public Relations Manager,Animator,Film Director,Video Editor,Journalist
all,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,50,45,82,71,72,71,53,75,61,64,IT Project Manager,Doctor,Nurse,Pharmacist,Medical Lab Technologist
Marine,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,72,80,80,64,79,74,83,65,96,47,Marine Engineer,Ship Captain,Marine Biologist,Naval Architect,Oceanographer
Space Science,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,97,82,57,39,80,90,100,51,63,51,Space Scientist,ISRO Scientist,DRDO Scientist,Astronomer,Aerospace Engineer
all,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,83,59,100,68,72,58,88,89,53,60,Accountant,Chartered Accountant (CA),Marketing Manager,Human Resource Manager,Operations Manager
Hospitality,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,0,67,61,54,67,64,71,59,69,54,76,Hotel Manager,Event Manager,Airline Manager,Wedding Planner,NGO Program Manager
Healthcare,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,73,51,33,56,92,76,58,43,61,67,Dentist,Physiotherapist,Occupational Therapist,Radiologist,Dietitian
Law & Government,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,45,43,81,75,61,60,54,76,60,69,Social Welfare Officer,Lawyer / Advocate,Judge,Legal Advisor,Public Prosecutor
all,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,65,76,62,69,78,66,74,59,94,56,Graphic Designer,Animator,Film Director,Video Editor,Journalist
Media & Creative,0,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,59,67,82,60,65,55,76,71,77,65,Public Relations Manager,Animator,Film Director,Video Editor,Journalist
all,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,53,51,86,72,33,58,52,81,40,47,IT Support Specialist,Technical Consultant,Ethical Hacker,Game Tester,Esports Player
all,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,59,61,67,93,78,65,58,76,64,97,Public Relations Manager,IT Project Manager,Doctor,Nurse,Pharmacist
all,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,57,46,78,79,55,64,63,65,53,76,Doctor,Nurse,Pharmacist,Medical Lab Technologist,Medical Researcher
Sports / Fitness,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,75,55,60,81,65,59,78,54,47,82,Sports Coach,Fitness Trainer,Yoga Instructor,Sports Physiotherapist,Sports Psychologist
all,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,42,60,74,82,51,30,41,80,86,83,Graphic Designer,Fashion Designer,Interior Designer,Social Media Manager,VFX Artist
Healthcare,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,66,46,67,65,71,76,64,63,63,83,Doctor,Nurse,Pharmacist,Medical Lab Technologist,Medical Researcher
Defense,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,62,39,64,72,45,73,64,60,37,62,Navy Officer,Army Officer,Air Force Officer,Defense Scientist,Coast Guard Officer
all,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,48,74,88,82,30,21,73,79,69,78,Public Relations Manager,Accountant,Chartered Accountant (CA),Marketing Manager,Human Resource Manager
all,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,74,77,58,47,82,67,63,60,83,38,Animator,Film Director,Video Editor,Journalist,Content Writer
all,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,63,79,30,58,81,64,87,41,84,59,Network Engineer,Cloud Engineer,AI Engineer,Machine Learning Engineer,DevOps Engineer
Marine,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,77,64,84,67,77,61,71,74,50,45,Marine Engineer,Ship Captain,Marine Biologist,Naval Architect,Oceanographer
all,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,70,58,90,72,85,85,66,97,61,89,Doctor,Nurse,Pharmacist,Medical Lab Technologist,Medical Researcher
all,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,80,78,74,54,58,86,79,65,83,61,Network Engineer,Cloud Engineer,AI Engineer,Machine Learning Engineer,DevOps Engineer
Education,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,81,74,88,72,92,93,68,72,90,76,Training Manager,Curriculum Developer,School Teacher,Professor,Special Education Teacher
Healthcare,0,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0,60,33,82,81,55,73,45,70,62,85,Social Worker,Doctor,Nurse,Pharmacist,Medical Lab Technologist
Marine,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,80,57,67,74,55,63,80,75,50,74,Marine Engineer,Ship Captain,Marine Biologist,Naval Architect,Oceanographer
all,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,86,75,45,71,78,90,75,67,58,78,IT Project Manager,Accountant,Chartered Accountant (CA),Marketing Manager,Human Resource Manager
IT & Computer,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,100,80,99,77,94,77,88,78,85,61,IT Project Manager,Network Engineer,Cloud Engineer,AI Engineer,Machine Learning Engineer
all,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,77,100,55,72,79,72,100,46,86,80,Network Engineer,Cloud Engineer,AI Engineer,Machine Learning Engineer,DevOps Engineer
all,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,63,39,65,58,46,76,54,62,36,66,Accountant,Chartered Accountant (CA),Marketing Manager,Human Resource Manager,Operations Manager
all,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,63,65,85,76,66,69,66,82,55,62,IT Project Manager,Training Manager,Accountant,Chartered Accountant (CA),Marketing Manager
IT & Computer,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,57,61,44,38,51,58,67,45,66,43,Software Developer,Web Developer,Mobile App Developer,IT Support Specialist,Game Developer
Space Science,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,81,57,75,81,82,84,86,88,66,66,Space Scientist,ISRO Scientist,DRDO Scientist,Astronomer,Aerospace Engineer
all,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,70,66,89,57,58,74,75,75,56,46,Public Relations Manager,Network Engineer,Cloud Engineer,AI Engineer,Machine Learning Engineer
all,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,58,35,52,48,44,57,47,55,42,79,Investment Banker,Auditor,Management Consultant,Banking Officer,Digital Marketing Specialist
Science,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,88,83,44,47,71,89,80,52,66,35,Physicist,Chemist,Mathematician,Statistician,Geologist
all,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,68,66,78,62,82,73,51,73,96,60,Graphic Designer,Animator,Film Director,Video Editor,Journalist
Design,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,27,34,40,60,65,42,28,51,81,45,Interior Designer,Industrial Designer,Graphic Designer,Architect,Urban Planner
Business & Finance,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,46,50,77,78,55,55,49,87,47,74,Accountant,Chartered Accountant (CA),Marketing Manager,Human Resource Manager,Operations Manager
Defense,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,82,80,72,78,72,64,77,68,66,71,Navy Officer,Army Officer,Air Force Officer,Defense Scientist,Coast Guard Officer
Fashion,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1,39,64,56,54,68,67,38,64,95,50,Fashion Designer,Textile Designer,Makeup Artist,Cosmetologist,Fashion Stylist
Healthcare,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,76,41,78,68,59,78,67,79,37,55,Doctor,Nurse,Pharmacist,Medical Lab Technologist,Medical Researcher
all,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,73,79,47,41,59,64,77,52,80,51,Animator,Film Director,Video Editor,Journalist,Content Writer
all,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,74,62,72,82,43,67,80,71,42,73,IT Project Manager,Accountant,Chartered Accountant (CA),Marketing Manager,Human Resource Manager
Biotech,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,52,60,63,53,64,70,75,75,45,40,Biomedical Engineer,Tourism Manager,Real Estate Manager,Agricultural Scientist,Environmental Scientist
Forensics,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,87,100,39,41,72,72,100,49,74,49,Forensic Scientist,Criminologist,Crime Scene Investigator,Forensic Psychologist,Digital Forensics Analyst
all,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,99,70,55,79,77,68,78,60,71,84,Accountant,Chartered Accountant (CA),Marketing Manager,Human Resource Manager,Operations Manager
Forensics,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,68,51,49,70,42,76,58,55,56,73,Criminologist,Forensic Scientist,Crime Scene Investigator,Forensic Psychologist,Digital Forensics Analyst
Design,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,76,66,45,54,72,50,54,48,91,72,Architect,Urban Planner,Interior Designer,Industrial Designer,Graphic Designer
Education,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0,64,44,92,97,75,60,45,93,60,99,School Teacher,Professor,Special Education Teacher,Training Manager,College Lecturer
Fashion,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,30,57,64,69,83,44,41,66,87,77,Fashion Designer,Textile Designer,Makeup Artist,Cosmetologist,Fashion Stylist
Law & Government,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1,66,76,98,85,53,51,45,99,68,72,Social Welfare Officer,Lawyer / Advocate,Judge,Legal Advisor,Public Prosecutor
Research,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,57,64,97,76,61,81,67,91,80,54,Research Scientist,Data Scientist,Research Analyst,Laboratory Researcher,Scientific Writer
Design,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,52,70,68,84,65,38,66,72,92,54,Interior Designer,Industrial Designer,Graphic Designer,Architect,Urban Planner
all,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,77,92,48,68,67,72,92,56,71,65,Public Relations Manager,Network Engineer,Cloud Engineer,AI Engineer,Machine Learning Engineer
Defense,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,69,68,82,76,59,65,85,69,45,63,Defense Scientist,Navy Officer,Army Officer,Air Force Officer,Coast Guard Officer
all,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,50,45,89,100,66,53,56,92,53,74,Accountant,Chartered Accountant (CA),Marketing Manager,Human Resource Manager,Operations Manager
Marine,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,67,37,40,83,55,69,65,65,31,82,Ship Captain,Marine Engineer,Marine Biologist,Naval Architect,Oceanographer
Space Science,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,78,60,27,57,82,95,74,44,53,76,Space Scientist,ISRO Scientist,DRDO Scientist,Astronomer,Aerospace Engineer
Marine,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,54,66,73,71,83,74,63,71,54,69,Marine Engineer,Ship Captain,Marine Biologist,Naval Architect,Oceanographer
Business & Finance,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,83,85,87,95,67,74,74,84,67,89,Accountant,Chartered Accountant (CA),Marketing Manager,Human Resource Manager,Operations Manager
Defense,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,63,70,71,53,72,82,58,69,56,59,Navy Officer,Army Officer,Air Force Officer,Defense Scientist,Coast Guard Officer
all,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,66,69,55,74,63,54,77,69,53,67,Public Relations Manager,IT Project Manager,Training Manager,Accountant,Chartered Accountant (CA)
Law & Government,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,80,61,72,83,74,68,66,75,77,64,Social Welfare Officer,Lawyer / Advocate,Judge,Legal Advisor,Public Prosecutor
Engineering,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,88,78,78,80,55,72,88,76,64,82,Civil Engineer,Mechanical Engineer,Electrical Engineer,Electronics Engineer,Chemical Engineer
Business & Finance,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,60,77,82,64,56,55,65,81,75,74,Accountant,Chartered Accountant (CA),Marketing Manager,Human Resource Manager,Operations Manager
Forensics,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,59,32,83,79,59,82,68,84,38,97,Forensic Scientist,Criminologist,Crime Scene Investigator,Forensic Psychologist,Digital Forensics Analyst
Defense,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,61,58,59,87,60,73,64,58,54,85,Navy Officer,Army Officer,Air Force Officer,Defense Scientist,Coast Guard Officer
Media & Creative,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,41,54,73,86,61,46,34,85,81,81,Graphic Designer,Fashion Designer,Interior Designer,Social Media Manager,VFX Artist
Design,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,63,44,81,77,61,57,51,70,73,55,Architect,Urban Planner,Interior Designer,Industrial Designer,Graphic Designer
Space Science,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,100,80,46,77,67,83,83,61,76,61,Space Scientist,ISRO Scientist,DRDO Scientist,Astronomer,Aerospace Engineer
Education,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,74,66,62,80,66,73,43,71,49,80,School Teacher,Professor,Special Education Teacher,Training Manager,College Lecturer
Fashion,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,50,69,79,75,70,15,57,75,91,65,Fashion Designer,Textile Designer,Makeup Artist,Cosmetologist,Fashion Stylist
all,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,13,46,64,74,50,9,29,69,87,79,Graphic Designer,Fashion Designer,Interior Designer,Social Media Manager,VFX Artist
Law & Government,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,76,63,85,78,79,67,65,85,56,70,Social Welfare Officer,Lawyer / Advocate,Judge,Legal Advisor,Public Prosecutor
Defense,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,80,56,47,70,75,83,78,65,52,84,Defense Scientist,Navy Officer,Army Officer,Air Force Officer,Coast Guard Officer
Research,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,60,57,71,72,59,82,86,68,66,83,Research Scientist,Data Scientist,Research Analyst,Laboratory Researcher,Scientific Writer
all,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,76,83,56,66,75,68,61,49,67,57,Animator,Film Director,Video Editor,Journalist,Content Writer
Science,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,69,80,60,67,66,68,88,85,65,70,Physicist,Chemist,Mathematician,Statistician,Geologist
Education,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,71,88,70,73,70,73,55,78,83,88,School Teacher,Professor,Special Education Teacher,Training Manager,College Lecturer
Forensics,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,50,63,100,58,73,71,61,100,50,30,Forensic Scientist,Criminologist,Crime Scene Investigator,Forensic Psychologist,Digital Forensics Analyst
Marine,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,60,64,70,68,58,64,83,72,47,81,Marine Engineer,Ship Captain,Marine Biologist,Naval Architect,Oceanographer
Research,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,88,84,65,58,84,85,91,84,87,59,Research Scientist,Data Scientist,Research Analyst,Laboratory Researcher,Scientific Writer
Sports / Fitness,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,18,59,48,55,75,27,39,60,84,78,Sports Coach,Fitness Trainer,Yoga Instructor,Sports Physiotherapist,Sports Psychologist
Media & Creative,0,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,50,73,68,78,74,67,45,56,94,78,Graphic Designer,Animator,Film Director,Video Editor,Journalist
Biotech,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,74,89,94,53,62,52,84,79,77,46,Tourism Manager,Real Estate Manager,Food Technologist,Biotechnologist,Microbiologist
Sports / Fitness,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,53,62,77,76,43,54,60,63,58,71,Sports Coach,Fitness Trainer,Yoga Instructor,Sports Physiotherapist,Sports Psychologist
all,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,63,58,32,49,74,81,74,43,54,45,Network Engineer,Cloud Engineer,AI Engineer,Machine Learning Engineer,DevOps Engineer
Biotech,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,85,46,68,74,46,64,69,66,33,63,Tourism Manager,Real Estate Manager,Food Technologist,Biotechnologist,Microbiologist
Business & Finance,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,75,70,58,47,51,59,74,56,50,66,Accountant,Chartered Accountant (CA),Investment Banker,Marketing Manager,Human Resource Manager
Education,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,60,66,69,79,84,76,53,71,83,87,School Teacher,Professor,Special Education Teacher,Training Manager,College Lecturer
Marine,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,69,60,48,42,64,59,57,43,52,60,Ship Captain,Marine Engineer,Marine Biologist,Naval Architect,Oceanographer
all,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,100,68,21,40,61,92,82,32,57,46,Network Engineer,Cloud Engineer,AI Engineer,Machine Learning Engineer,DevOps Engineer
Research,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,65,75,67,54,91,84,71,73,74,55,Research Scientist,Data Scientist,Research Analyst,Laboratory Researcher,Scientific Writer
Forensics,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,83,90,93,78,82,79,92,73,70,55,Forensic Scientist,Criminologist,Crime Scene Investigator,Forensic Psychologist,Digital Forensics Analyst
Business & Finance,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,74,65,49,77,53,70,87,51,62,67,Accountant,Chartered Accountant (CA),Marketing Manager,Human Resource Manager,Operations Manager
all,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,55,63,81,68,68,51,49,78,73,66,Animator,Film Director,Video Editor,Journalist,Content Writer
all,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,65,37,84,99,58,82,62,89,33,75,Doctor,Nurse,Pharmacist,Medical Lab Technologist,Medical Researcher
Science,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,86,89,47,69,81,79,90,52,93,43,Physicist,Chemist,Mathematician,Statistician,Geologist
Defense,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,66,75,67,67,69,75,76,63,59,62,Navy Officer,Army Officer,Air Force Officer,Defense Scientist,Coast Guard Officer
all,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,100,70,61,26,75,73,92,61,78,35,Data Analyst,Data Scientist,Cybersecurity Analyst,Network Engineer,Cloud Engineer
Engineering,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,57,46,56,49,55,74,70,60,55,40,Civil Engineer,Mechanical Engineer,Electrical Engineer,Electronics Engineer,Chemical Engineer
all,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,100,100,41,47,74,78,100,52,91,52,Network Engineer,Cloud Engineer,AI Engineer,Machine Learning Engineer,DevOps Engineer
all,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,46,95,56,67,87,73,43,67,96,70,Graphic Designer,Fashion Designer,Interior Designer,Social Media Manager,VFX Artist
Design,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,55,84,63,59,65,51,56,64,100,52,Architect,Urban Planner,Interior Designer,Industrial Designer,Graphic Designer
all,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,68,75,86,74,57,65,77,85,69,54,Public Relations Manager,IT Project Manager,Training Manager,Accountant,Chartered Accountant (CA)
all,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,77,71,49,44,81,88,61,55,67,57,Software Developer,Web Developer,Mobile App Developer,Game Developer,Software Tester / QA Engineer
IT & Computer,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,98,59,52,47,78,100,81,47,43,51,Network Engineer,Cloud Engineer,AI Engineer,Machine Learning Engineer,DevOps Engineer
all,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,85,56,59,79,45,73,84,74,39,83,Accountant,Chartered Accountant (CA),Marketing Manager,Human Resource Manager,Operations Manager
Sports / Fitness,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,61,51,67,45,79,60,74,69,72,66,Sports Coach,Fitness Trainer,Yoga Instructor,Sports Physiotherapist,Sports Psychologist
Aviation,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,83,57,56,52,48,70,62,47,50,67,Pilot,Commercial Pilot,Air Traffic Controller,Flight Dispatcher,Aircraft Maintenance Engineer
all,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,62,82,48,52,74,80,91,52,62,72,Network Engineer,Cloud Engineer,AI Engineer,Machine Learning Engineer,DevOps Engineer
Forensics,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,92,52,62,48,42,77,54,69,42,79,Criminologist,Forensic Scientist,Crime Scene Investigator,Forensic Psychologist,Digital Forensics Analyst
Sports / Fitness,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,40,42,54,65,37,45,51,65,48,75,Sports Coach,Fitness Trainer,Yoga Instructor,Sports Physiotherapist,Sports Psychologist
Media & Creative,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,52,54,58,60,74,66,62,63,81,63,Animator,Film Director,Video Editor,Journalist,Content Writer
all,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,100,72,98,69,70,76,96,85,77,73,Public Relations Manager,IT Project Manager,Training Manager,Accountant,Chartered Accountant (CA)
Design,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,58,69,70,61,56,47,72,70,84,66,Architect,Urban Planner,Interior Designer,Industrial Designer,Graphic Designer
Sports / Fitness,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,80,67,75,74,60,65,56,85,62,89,Sports Coach,Fitness Trainer,Yoga Instructor,Sports Physiotherapist,Sports Psychologist
all,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,85,84,66,58,100,82,81,67,82,61,Public Relations Manager,Network Engineer,Cloud Engineer,AI Engineer,Machine Learning Engineer
IT & Computer,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,84,47,71,52,96,86,61,77,64,40,Software Developer,Web Developer,Mobile App Developer,Game Developer,Software Tester / QA Engineer
Hospitality,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,46,80,74,81,43,43,68,80,74,79,Hotel Manager,Event Manager,Airline Manager,Wedding Planner,NGO Program Manager
all,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,64,41,55,67,89,64,67,71,67,71,IT Project Manager,Training Manager,Accountant,Chartered Accountant (CA),Marketing Manager
Marine,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,77,81,97,100,40,48,75,71,68,70,Ship Captain,Marine Engineer,Marine Biologist,Naval Architect,Oceanographer
Healthcare,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,78,76,61,80,69,56,82,58,55,89,Doctor,Dentist,Nurse,Pharmacist,Physiotherapist
Engineering,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,80,99,33,30,87,84,88,36,68,39,Civil Engineer,Mechanical Engineer,Electrical Engineer,Electronics Engineer,Chemical Engineer
Science,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,100,77,68,73,94,98,92,74,59,71,Physicist,Chemist,Mathematician,Statistician,Geologist
all,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,51,33,48,80,47,59,46,69,51,74,Animator,Film Director,Video Editor,Journalist,Content Writer
